n_objects,method,ms_per_frame,power_mean_mw,power_median_mw,power_p5_mw,power_p95_mw,power_std_mw,energy_per_frame_mj,energy_total_mj,power_delta_idle_mw,idle_power_mw,iterations,samples
50,octopus_kernel,11.403,8143.5,8370.0,6902.0,8448.0,496.7,92.7130,27813.9,2413.6,5729.9,300,491
50,octopus_e2e,11.909,8148.0,8330.0,7110.1,8409.0,418.0,96.8705,29061.1,2418.1,5729.9,300,500
50,individual_cuda,12.369,7758.9,7911.0,6984.0,7911.0,307.5,95.9096,28772.9,2028.9,5729.9,300,490
100,octopus_kernel,20.871,8499.5,8605.0,7700.0,8684.0,368.6,177.3004,53190.1,2769.6,5729.9,300,900
100,octopus_e2e,21.504,8431.5,8566.0,7615.2,8605.0,352.2,181.2498,54374.9,2701.6,5729.9,300,917
100,individual_cuda,24.532,7910.7,7990.0,7360.0,7990.0,236.8,194.0309,58209.3,2180.8,5729.9,300,971
200,octopus_kernel,39.959,8556.0,8684.0,7584.0,8763.0,402.3,341.6298,51244.5,2826.1,5729.9,150,864
200,octopus_e2e,40.633,8539.7,8684.0,7623.0,8723.0,371.5,346.9289,52039.3,2809.7,5729.9,150,873
200,individual_cuda,48.920,7931.6,7990.0,7439.0,8068.0,229.8,387.9120,58186.8,2201.6,5729.9,150,969
500,octopus_kernel,100.240,8662.8,8723.0,8370.0,8802.0,262.8,868.2204,130233.1,2932.8,5729.9,150,2170
500,octopus_e2e,101.210,8641.1,8684.0,8330.0,8802.0,264.1,874.3663,131154.9,2911.2,5729.9,150,2179
500,individual_cuda,122.369,7959.9,7990.0,7832.0,8029.0,143.6,973.6743,146051.1,2229.9,5729.9,150,2431
1000,octopus_kernel,198.579,8707.4,8723.0,8487.0,8959.0,270.2,1728.8962,172889.6,2977.5,5729.9,100,2868
1000,octopus_e2e,199.895,8718.6,8763.0,8527.0,8959.0,262.9,1742.7118,174271.2,2988.7,5729.9,100,2872
1000,individual_cuda,244.000,8018.7,8029.0,7950.0,8108.0,130.1,1956.0161,195601.6,2288.8,5729.9,100,3229
2000,octopus_kernel,397.359,8666.0,8684.0,8370.0,9116.0,336.3,3442.7418,172137.1,2936.1,5729.9,50,2867
2000,octopus_e2e,399.706,8656.4,8645.0,8330.0,9077.0,330.4,3459.4334,172971.7,2926.5,5729.9,50,2874
2000,individual_cuda,487.454,8099.2,8108.0,8029.0,8186.0,128.6,3947.1959,197359.8,2369.2,5729.9,50,3259
3000,octopus_kernel,595.650,8685.4,8645.0,8252.0,9337.0,404.3,5172.4138,258620.7,2955.5,5729.9,50,4296
3000,octopus_e2e,599.231,8674.3,8645.0,8212.0,9313.0,400.4,5197.7805,259889.0,2944.3,5729.9,50,4309
3000,individual_cuda,733.420,8090.4,8108.0,7950.0,8344.0,131.3,5933.0097,296650.5,2360.5,5729.9,50,4912
5000,octopus_kernel,991.954,8686.1,8566.0,8016.0,9768.0,594.0,8615.8360,258475.1,2956.1,5729.9,30,4299
5000,octopus_e2e,997.564,8664.2,8527.0,8016.0,9729.0,584.4,8641.6751,259250.3,2934.2,5729.9,30,4304
5000,individual_cuda,1216.721,8191.5,8226.0,8068.0,8265.0,98.4,9965.2734,298958.2,2461.6,5729.9,30,4856
