# DEPRECATED: voltage was sampled as power. See README changelog.
n_objects,method,ms_per_frame,power_mean_mw,power_median_mw,power_p5_mw,power_p95_mw,power_std_mw,energy_per_frame_mj,energy_total_mj,power_delta_idle_mw,idle_power_mw,iterations,samples
50,octopus_kernel,11.724,4923.6,4912.0,4912.0,4973.2,18.9,57.6214,17286.4,-69.7,4993.2,300,468
50,octopus_e2e,12.586,4920.1,4912.0,4912.0,4952.0,13.3,61.9065,18571.9,-73.2,4993.2,300,479
50,individual_cuda,12.505,4924.8,4920.0,4920.0,4952.0,10.7,61.5263,18457.9,-68.4,4993.2,300,431
100,octopus_kernel,21.128,4916.4,4912.0,4912.0,4944.0,10.9,103.8367,31151.0,-76.9,4993.2,300,849
100,octopus_e2e,22.235,4916.0,4912.0,4912.0,4944.0,10.5,109.3022,32790.6,-77.2,4993.2,300,876
100,individual_cuda,24.755,4922.2,4920.0,4920.0,4936.0,7.4,121.8195,36545.9,-71.0,4993.2,300,743
200,octopus_kernel,40.171,4916.1,4912.0,4912.0,4944.0,10.4,197.4807,29622.1,-77.1,4993.2,150,784
200,octopus_e2e,41.233,4916.3,4912.0,4912.0,4944.0,10.6,202.7126,30406.9,-76.9,4993.2,150,818
200,individual_cuda,49.250,4922.4,4920.0,4920.0,4944.0,7.9,242.1871,36328.1,-70.8,4993.2,150,773
500,octopus_kernel,100.315,4913.7,4912.0,4912.0,4920.0,6.9,492.8406,73926.1,-79.6,4993.2,150,2018
500,octopus_e2e,102.148,4913.7,4912.0,4912.0,4920.0,7.0,501.8061,75270.9,-79.6,4993.2,150,2029
500,individual_cuda,122.623,4920.5,4920.0,4912.0,4928.0,5.7,603.2468,90487.0,-72.7,4993.2,150,1844
1000,octopus_kernel,198.643,4913.3,4912.0,4912.0,4920.0,6.1,975.7964,97579.6,-80.0,4993.2,100,2666
1000,octopus_e2e,202.211,4913.2,4912.0,4912.0,4920.0,6.1,993.2693,99326.9,-80.0,4993.2,100,2679
1000,individual_cuda,244.824,4920.6,4920.0,4920.0,4920.0,4.2,1204.6393,120463.9,-72.6,4993.2,100,2495
2000,octopus_kernel,396.556,4913.3,4912.0,4912.0,4920.0,6.1,1948.3241,97416.2,-80.0,4993.2,50,2659
2000,octopus_e2e,402.229,4913.3,4912.0,4912.0,4920.0,6.2,1975.7920,98789.6,-80.0,4993.2,50,2667
2000,individual_cuda,489.594,4920.2,4920.0,4920.0,4920.0,4.2,2408.9127,120445.6,-73.0,4993.2,50,2635
3000,octopus_kernel,594.357,4912.8,4912.0,4912.0,4912.0,5.0,2919.8340,145991.7,-80.4,4993.2,50,3966
3000,octopus_e2e,602.287,4912.8,4912.0,4912.0,4912.0,4.7,2958.2745,147913.7,-80.4,4993.2,50,4002
3000,individual_cuda,737.298,4918.0,4920.0,4912.0,4920.0,4.9,3625.9773,181298.9,-75.2,4993.2,50,4509
5000,octopus_kernel,990.250,4912.8,4912.0,4912.0,4912.0,5.2,4864.0187,145920.6,-80.4,4993.2,30,3891
5000,octopus_e2e,1001.071,4912.8,4912.0,4912.0,4912.0,5.1,4917.8100,147534.3,-80.4,4993.2,30,3995
5000,individual_cuda,1227.872,4918.1,4920.0,4912.0,4920.0,4.8,6037.9628,181138.9,-75.1,4993.2,30,4345
