n_obj,method,stage,mean_ms
100,octopus,1_build_meta_host,0.0980
100,octopus,2_h2d_metadata,0.7607
100,octopus,3_kernel_crop_resize,17.9966
100,octopus,4_kernel_normalize,2.9876
100,octopus,5_e2e_total,21.4333
100,individual,3_kernel_launches_total,24.5283
100,individual,3a_per_launch_overhead,0.3728
100,individual,5_e2e_total,24.5283
500,octopus,1_build_meta_host,0.4949
500,octopus,2_h2d_metadata,0.4676
500,octopus,3_kernel_crop_resize,86.6118
500,octopus,4_kernel_normalize,13.4494
500,octopus,5_e2e_total,100.9142
500,individual,3_kernel_launches_total,122.3499
500,individual,3a_per_launch_overhead,0.3706
500,individual,5_e2e_total,122.3499
1000,octopus,1_build_meta_host,1.0000
1000,octopus,2_h2d_metadata,0.4524
1000,octopus,3_kernel_crop_resize,172.1650
1000,octopus,4_kernel_normalize,26.5188
1000,octopus,5_e2e_total,200.0132
1000,individual,3_kernel_launches_total,244.5660
1000,individual,3a_per_launch_overhead,0.3700
1000,individual,5_e2e_total,244.5660
2000,octopus,1_build_meta_host,1.9849
2000,octopus,2_h2d_metadata,0.4601
2000,octopus,3_kernel_crop_resize,344.1581
2000,octopus,4_kernel_normalize,54.2203
2000,octopus,5_e2e_total,399.5458
2000,individual,3_kernel_launches_total,488.4910
2000,individual,3a_per_launch_overhead,0.3714
2000,individual,5_e2e_total,488.4910
